"Node Name","taxon A","taxon B","Node Age","Study reference"
"n33","Caryothraustes poliogaster","Cyanoloxia cyanoides",10.6297969090909,"Barker et al. 2015 - chronogram 2"
"n33","Caryothraustes poliogaster","Cyanoloxia cyanoides",14.63893,"Hedges et al. 2015 - chronogram 2"
"n33","Caryothraustes poliogaster","Cyanoloxia cyanoides",14.6762402272727,"Hedges et al. 2015 - chronogram 1"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",6.9794358915,"Barker et al. 2013"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",7.922348,"Barker et al. 2015 - chronogram 1"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",8.402722,"Barker et al. 2015 - chronogram 2"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",11.664436,"Jetz et al. 2012 - chronogram 1"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",13.936526,"Hedges et al. 2015 - chronogram 1"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",14.42364,"Hedges et al. 2015 - chronogram 2"
"n34","Cardinalis cardinalis","Caryothraustes poliogaster",14.42364,"Jetz et al. 2012 - chronogram 2"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",6.3225445011,"Barker et al. 2013"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",6.548661,"Barker et al. 2015 - chronogram 1"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",6.970271,"Barker et al. 2015 - chronogram 2"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",9.420663,"Jetz et al. 2012 - chronogram 1"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",11.379882,"Hedges et al. 2015 - chronogram 1"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",11.649106,"Jetz et al. 2012 - chronogram 2"
"n35","Caryothraustes poliogaster","Rhodothraupis celaeno",11.64911,"Hedges et al. 2015 - chronogram 2"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",2.354804,"Barker et al. 2015 - chronogram 1"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",2.522654,"Barker et al. 2015 - chronogram 2"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",3.35649300000001,"Jetz et al. 2012 - chronogram 1"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",3.85634800000002,"Hedges et al. 2015 - chronogram 1"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",4.15046600000002,"Jetz et al. 2012 - chronogram 2"
"n36","Caryothraustes canadensis","Caryothraustes poliogaster",4.15047000000001,"Hedges et al. 2015 - chronogram 2"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",4.5800958281,"Barker et al. 2013"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",5.124363,"Barker et al. 2015 - chronogram 1"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",5.452941,"Barker et al. 2015 - chronogram 2"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",7.00534,"Jetz et al. 2012 - chronogram 1"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",8.65570300000002,"Hedges et al. 2015 - chronogram 1"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",8.66244000000001,"Hedges et al. 2015 - chronogram 2"
"n37","Periporphyrus erythromelas","Rhodothraupis celaeno",8.66244200000001,"Jetz et al. 2012 - chronogram 2"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",4.178799,"Barker et al. 2015 - chronogram 1"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",4.449966,"Barker et al. 2015 - chronogram 2"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",5.35522900000001,"Jetz et al. 2012 - chronogram 1"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",5.964478,"Hooper et al. 2017"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",6.55174700000001,"Hedges et al. 2015 - chronogram 1"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",6.60564600000001,"Uyeda et al 2017"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",6.62200000000001,"Hedges et al. 2015 - chronogram 2"
"n38","Cardinalis cardinalis","Cardinalis sinuatus",6.62200000000001,"Jetz et al. 2012 - chronogram 2"
"n39","Cardinalis phoeniceus","Cardinalis sinuatus",3.863452,"Barker et al. 2015 - chronogram 1"
"n39","Cardinalis phoeniceus","Cardinalis sinuatus",4.119973,"Barker et al. 2015 - chronogram 2"
"n40","Cyanoloxia cyanoides","Spiza americana",7.3844931915,"Barker et al. 2013"
"n40","Cyanoloxia cyanoides","Spiza americana",7.68467325,"Barker et al. 2015 - chronogram 1"
"n40","Cyanoloxia cyanoides","Spiza americana",8.2329609,"Barker et al. 2015 - chronogram 2"
"n40","Cyanoloxia cyanoides","Spiza americana",10.3269032272727,"Jetz et al. 2012 - chronogram 1"
"n40","Cyanoloxia cyanoides","Spiza americana",12.7697,"Hedges et al. 2015 - chronogram 2"
"n40","Cyanoloxia cyanoides","Spiza americana",12.7697151363637,"Jetz et al. 2012 - chronogram 2"
"n40","Cyanoloxia cyanoides","Spiza americana",12.78833425,"Hedges et al. 2015 - chronogram 1"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",4.9521149745,"Barker et al. 2013"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",6.03728464285715,"Barker et al. 2015 - chronogram 1"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",6.44350585714286,"Barker et al. 2015 - chronogram 2"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",9.18512251785715,"Jetz et al. 2012 - chronogram 1"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",11.1445442777778,"Hedges et al. 2015 - chronogram 1"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",11.3578482142857,"Jetz et al. 2012 - chronogram 2"
"n41","Cyanocompsa parellina","Cyanoloxia cyanoides",11.357856,"Hedges et al. 2015 - chronogram 2"
"n42","Cyanoloxia cyanoides","Cyanoloxia glaucocaerulea",5.58516100000001,"Jetz et al. 2012 - chronogram 1"
"n42","Cyanoloxia cyanoides","Cyanoloxia glaucocaerulea",6.90632100000001,"Jetz et al. 2012 - chronogram 2"
"n43","Cyanocompsa brissonii","Cyanoloxia glaucocaerulea",2.195783,"Barker et al. 2015 - chronogram 1"
"n43","Cyanocompsa brissonii","Cyanoloxia glaucocaerulea",2.333011,"Barker et al. 2015 - chronogram 2"
"n43","Cyanocompsa brissonii","Cyanoloxia glaucocaerulea",3.20892300000001,"Jetz et al. 2012 - chronogram 1"
"n43","Cyanocompsa brissonii","Cyanoloxia glaucocaerulea",3.96798800000001,"Jetz et al. 2012 - chronogram 2"
"n44","Cyanocompsa parellina","Passerina cyanea",4.3913852595,"Barker et al. 2013"
"n44","Cyanocompsa parellina","Passerina cyanea",6.83892799409999,"Price et al. 2014 - chronogram 2"
"n44","Cyanocompsa parellina","Passerina cyanea",9.53000000000001,"Hedges et al. 2015 - chronogram 2"
"n45","Passerina cyanea","Passerina rositae",4.59360133333334,"Barker et al. 2015 - chronogram 1"
"n45","Passerina cyanea","Passerina rositae",4.89242766666667,"Barker et al. 2015 - chronogram 2"
"n45","Passerina cyanea","Passerina rositae",6.64423358333335,"Jetz et al. 2012 - chronogram 1"
